"","V1"
"1",2.69088226343131
"2",3.23020147067484
"3",6.96386203989959
"4",5.03130010734945
"5",5.12288413777433
"6",4.47422600759242
"7",2.9838333688041
"8",8.22239117458389
"9",5.33995944275619
"10",-0.170757717136394
"11",5.79501140312188
"12",3.16953820394735
"13",1.83900553623249
"14",3.73932520423917
"15",1.93251623917267
"16",2.59688159390645
"17",2.82910163928719
"18",0.455171030790616
"19",6.10008071296323
"20",4.56968464820836
"21",1.68178037194272
"22",7.03034732552072
"23",5.18033491999851
"24",3.56693203661244
"25",6.22829375730593
"26",6.19029810224768
"27",6.06384307837405
"28",5.76657835101536
"29",5.46532945805205
"30",4.08829313735199
"31",3.54257861610547
"32",3.37597290907375
"33",2.67331990149505
"34",3.76181476345628
"35",1.39721967021797
"36",9.07666490950542
"37",6.92781707325127
"38",1.71538479264866
"39",3.32585405197229
"40",3.18325883803911
"41",5.9707869554835
"42",4.04031303095312
"43",4.79316934805633
"44",4.16289944530807
"45",4.13087067407494
"46",7.28701967202263
"47",3.72189265952358
"48",7.61766328818947
"49",0.76361538020263
"50",5.53396801557212
"51",4.50367843934322
"52",4.7095919576843
"53",5.07563162119878
"54",3.10350254296
"55",3.48165757031515
"56",1.94912813396949
"57",1.83013389071756
"58",4.90544260610291
"59",5.22895946400036
"60",4.34525298486905
"61",6.28898468242053
"62",8.81086064749841
"63",3.12875286443143
"64",-0.936726646654786
"65",6.47563163909277
"66",2.64091081597591
"67",2.68829789527824
"68",6.51997922922422
"69",3.58996012888175
"70",1.49712414486566
"71",4.63213883608119
"72",3.91616140290356
"73",4.23962104231192
"74",5.08824509812169
"75",3.39791090317477
"76",5.66760169639963
"77",3.73370899045289
"78",4.96861895582871
"79",6.67933852458056
"80",5.19982732685891
"81",3.49792674954272
"82",6.79554385873112
"83",6.44827408864429
"84",5.45298481091907
"85",4.76055231890048
"86",2.82269126129564
"87",7.26924329946946
"88",2.88451068979789
"89",9.11775719261797
"90",7.65375347399343
"91",3.69968990553505
"92",1.93158502419233
"93",2.63821456271116
"94",4.80114136679111
"95",3.67511212106584
"96",3.44960305347452
"97",2.0988481257493
"98",4.12604687725993
"99",2.4716321812554
"100",0.497100378071111
"101",3.37651958459319
"102",6.2816708197565
"103",2.94021701176443
"104",5.58618148319459
"105",0.609036215448795
"106",4.10249159892846
"107",5.38816174682551
"108",4.90013132026222
"109",4.46303108452533
"110",2.79406974264146
"111",2.32673525229673
"112",1.93671033729759
"113",4.48979771924224
"114",2.10811428653222
"115",3.12981213982161
"116",3.65409238054261
"117",8.34973271563312
"118",2.76892763268948
"119",4.75307230742444
"120",4.40105769001292
"121",2.07595511228072
"122",4.06728220288705
"123",7.45684584719511
"124",5.23632568560663
"125",4.31893154729199
"126",3.2820002934151
"127",-0.364468431172335
"128",6.75647884547411
"129",0.960641441556813
"130",5.88130486490831
"131",8.4956172876626
"132",0.998088670624839
"133",5.79596941024719
"134",3.64044052097113
"135",0.71131072052627
"136",0.839832093628716
"137",0.645588178267135
"138",3.03958885753403
"139",0.958147076264025
"140",5.76496059804107
"141",8.92271828197529
"142",1.34884429727625
"143",5.98816954227667
"144",5.94636265925164
"145",4.96955947963803
"146",1.97193328777676
"147",3.95962778228913
"148",3.59974890079032
"149",5.4856147977067
"150",3.3939335547012
"151",6.41131083564206
"152",3.38914366976761
"153",6.58066632853365
"154",1.88070082346976
"155",1.4089391413228
"156",11.4739175431275
"157",3.29461002674149
"158",4.89358909825591
"159",5.6501449943594
"160",3.1449655655227
"161",5.38247059687957
"162",5.05176169532396
"163",3.74512647468959
"164",4.37273159222461
"165",4.15055523563889
"166",8.98609506384353
"167",2.56905402536446
"168",1.77600977453987
"169",4.31122936011226
"170",4.92098799226476
"171",5.20282810342269
"172",3.20179588833349
"173",1.8490624129932
"174",7.05129985271097
"175",3.44488989498151
"176",2.29138633451145
"177",3.69839475295819
"178",3.78583322751715
"179",6.70858914821079
"180",4.41621027638702
"181",5.91284745316844
"182",3.11028103978466
"183",4.70624622048528
"184",3.50071216137484
"185",4.4382271293527
"186",2.22463859780457
"187",1.29569059727253
"188",8.69263682467372
"189",5.56995769522029
"190",1.42880410791273
"191",2.86012339557644
"192",1.57591787567304
"193",9.14342134053885
"194",7.16137656066299
"195",3.63384956013375
"196",5.44135077222183
"197",3.30023964146454
"198",3.16181150037122
"199",2.46336237812244
"200",2.89712730017019
"201",7.91827325233168
"202",4.10592137041692
"203",4.49337238544994
"204",4.77163358865059
"205",6.98263177572681
"206",3.07277812408334
"207",2.00741847437363
"208",7.97370418134623
"209",3.24026098863213
"210",2.60990726980245
"211",1.46234119822611
"212",1.35402024393949
"213",2.94328821381246
"214",5.60859022711994
"215",6.70842781415331
"216",5.80894759006838
"217",3.41356949398601
"218",4.36033685244815
"219",2.65120634131023
"220",2.62298336682791
"221",6.20487058284633
"222",1.95579788760301
"223",8.59890215364111
"224",4.02477117899701
"225",4.7064553309608
"226",2.57533377974025
"227",2.94235977498712
"228",1.28179433150645
"229",3.81769832759286
"230",5.16360506959227
"231",4.95189848974816
"232",2.47916321885402
"233",2.46331959542542
"234",3.10378145837692
"235",7.57202528704514
"236",1.68364372393959
"237",3.82636039429099
"238",8.48054228187924
"239",4.00094522318937
"240",1.18603567848903
"241",2.74026228416788
"242",5.31225344399175
"243",3.38685837720709
"244",2.97033818695713
"245",3.45770961665988
"246",4.42908858554394
"247",7.80110620571655
"248",4.02869431962739
"249",6.64347307424714
"250",5.63714101048726
"251",3.97262539949713
"252",0.799058849495872
"253",3.06147818450505
"254",3.13134829741858
"255",4.33217244790005
"256",7.13406455832318
"257",9.35421239406662
"258",7.68722837938365
"259",3.92899732329566
"260",0.299017269997289
"261",3.35739372645728
"262",4.4262053456807
"263",6.11623844977092
"264",6.37900989858043
"265",5.75689433262414
"266",1.1068036373914
"267",6.12659153745097
"268",3.22819963903047
"269",4.61760265101591
"270",4.39343343076793
"271",5.18414192298505
"272",4.28190686974772
"273",0.498144261815191
"274",5.87358697319254
"275",5.08991357875567
"276",3.63271683834942
"277",4.49091108867368
"278",4.5264514534607
"279",4.72094648685811
"280",7.89577549855039
"281",3.73692039301249
"282",4.60253755383552
"283",6.83931769480181
"284",6.58395235966591
"285",6.78761809773815
"286",2.93547422560474
"287",8.70441943950897
"288",4.37587961236316
"289",8.40113955949025
"290",1.2060216938531
"291",4.27365265630464
"292",7.02162587755948
"293",2.62740177979902
"294",2.54366823195578
"295",2.12809559002529
"296",1.87324069098219
"297",3.24921349760138
"298",4.96727107427327
"299",-0.2771796635396
"300",4.70073458972514
"301",6.99202140066999
"302",8.78288594477784
"303",7.13624990005608
"304",5.91893174630895
"305",0.365645379569844
"306",2.88172204277955
"307",3.43953212264817
"308",5.7998592011652
"309",3.9904436446993
"310",1.41230803867544
"311",7.99324467783126
"312",6.26466481336195
"313",4.75764216001106
"314",6.95050558747115
"315",1.2331416180186
"316",5.70437103757448
"317",3.05746431109207
"318",5.75563339697409
"319",4.09072990566049
"320",5.64207511222989
"321",7.21304010322603
"322",4.24303306831553
"323",6.50206221412174
"324",1.56931264143957
"325",2.6131753491242
"326",7.62380600609045
"327",5.07059709237719
"328",-0.362177800661335
"329",1.17665146409303
"330",3.77777193135611
"331",6.16267353241602
"332",3.9989140452566
"333",5.62245754894676
"334",6.37113314632627
"335",7.96332412227164
"336",4.35198915428512
"337",4.11049685498432
"338",0.306374015070501
"339",4.44883518322672
"340",2.94803632841316
"341",2.04878029291867
"342",3.82444936860675
"343",6.49621385835896
"344",-0.229189151962813
"345",3.27130639923583
"346",4.48754082560668
"347",2.22945908614455
"348",4.9733616081203
"349",5.14671720127894
"350",4.1528608329482
"351",-1.28718405603654
"352",9.9766871462582
"353",3.7676688353757
"354",5.68284437492602
"355",4.83889241472414
"356",6.51797093858326
"357",6.05507403534213
"358",3.75762013872263
"359",5.07234077636271
"360",2.11273351788319
"361",6.1428700346595
"362",3.19581886482583
"363",9.63080143608542
"364",0.534874365870083
"365",3.18922491484011
"366",6.07233741119394
"367",5.36742298316062
"368",2.90861225723812
"369",1.99786243256611
"370",4.54978942763513
"371",4.19473958238143
