"","V1"
"1",4.82088427936787
"2",2.23173795217493
"3",3.65981226960607
"4",-5.00120081132953
"5",3.33274566623137
"6",4.57871720988657
"7",-1.7850275712486
"8",0.801116233598788
"9",-0.94282986377095
"10",1.13683087203301
"11",4.77577210430103
"12",-0.809261022391867
"13",0.571368380492413
"14",1.70148461212507
"15",-6.121222327961
"16",1.99228706733094
"17",1.11851574977486
"18",-1.23180438707129
"19",5.29512590913066
"20",-1.21747938224795
"21",-5.04572814021734
"22",-3.13855502426511
"23",4.27697445675288
"24",3.86964463806651
"25",-4.814688926218
"26",0.178112580348846
"27",1.35696309669883
"28",2.4650507498633
"29",-1.33462774022881
"30",0.803712441626506
"31",1.01688934593592
"32",3.20371787310471
"33",1.48635124813591
"34",-1.06732057910794
"35",-2.86035879192654
"36",1.15321211295913
"37",2.75913062364522
"38",2.93011016701124
"39",-1.57810002231941
"40",1.55934001912293
"41",-7.63320007511286
"42",0.677448255144607
"43",-0.707636227046732
"44",0.968819871332317
"45",-3.15475257588093
"46",4.40132212561424
"47",3.37172397215084
"48",-4.53991697220872
"49",1.74662683292114
"50",-5.41803854188984
